,city_name,country,adm0name,pop_max,geometry,2024-11-07 00:00:00,2024-11-08 00:00:00,2024-11-09 00:00:00,2024-11-10 00:00:00,2024-11-11 00:00:00,2024-11-12 00:00:00,2024-11-13 00:00:00
0,Tokyo,Japan,Japan,35676000,POINT (139.7494616 35.6869628),21.708334,12.75,51.958332,94.375,18.041666,19.416666,41.125
1,New York,United States,United States of America,19040000,POINT (-73.99571754361698 40.72156174972766),40.583332,0.0,7.25,78.041664,59.708332,8.416667,0.33333334
2,Mexico City,Mexico,Mexico,19028000,POINT (-99.1329341 19.4443883),40.458332,43.333332,23.875,54.916668,52.125,35.458332,38.875
3,Mumbai,India,India,18978000,POINT (72.8758393972653 19.06840847529168),0.0,0.16666667,0.125,0.125,0.5,2.25,3.4166667
4,Sao Paulo,Brazil,Brazil,18845000,POINT (-46.6269658 -23.5567337),96.458336,100.0,97.875,66.958336,25.833334,31.5,99.958336
5,Delhi,India,India,15926000,POINT (77.2280582 28.6719388),0.125,0.7916667,2.4166667,0.041666668,0.8333333,0.0,0.0
6,Shanghai,China,China,14987000,POINT (121.4345588 31.2183983),55.958332,86.708336,99.958336,49.583332,16.5,13.708333,26.875
7,Kolkata,India,India,14787000,POINT (88.36912550443886 22.569578883795778),6.2916665,3.2083333,2.0416667,9.333333,49.0,78.791664,16.083334
8,Dhaka,Bangladesh,Bangladesh,12797394,POINT (90.4066336 23.7250056),0.8333333,0.0,0.0,0.29166666,21.666666,59.875,8.625
9,Buenos Aires,Argentina,Argentina,12795000,POINT (-58.43251268766426 -34.61071459139255),54.791668,48.666668,14.375,34.958332,61.791668,42.666668,5.8333335
10,Los Angeles,United States,United States of America,12500000,POINT (-118.23198647223317 34.049219260337075),12.5,0.0,0.0,63.125,39.208332,17.458334,3.875
11,Karachi,Pakistan,Pakistan,12130000,POINT (66.9880631 24.8719381),10.416667,14.708333,13.916667,5.6666665,15.25,10.083333,0.16666667
12,Cairo,Egypt,Egypt,11893000,POINT (31.2480224 30.0519062),11.083333,64.083336,56.791668,11.75,42.208332,36.666668,73.791664
13,Rio de Janeiro,Brazil,Brazil,11748000,POINT (-43.212117466834385 -22.907308056882364),92.916664,100.0,93.583336,31.625,12.083333,9.166667,99.416664
14,Osaka,Japan,Japan,11294000,POINT (135.50375419006232 34.691095244477914),84.125,60.458332,73.375,95.958336,16.75,5.7916665,11.333333
15,Beijing,China,China,11106000,POINT (116.39420089260611 39.901720309862675),30.916666,21.416666,33.375,42.333332,83.916664,80.0,92.916664
16,Manila,Philippines,Philippines,11100000,POINT (120.9802713 14.6061048),99.541664,54.875,41.208332,99.541664,98.25,71.583336,92.083336
17,Moscow,Russia,Russia,10452000,POINT (37.613577 55.75411),100.0,86.541664,64.041664,98.583336,98.791664,99.5,99.958336
18,Istanbul,Turkey,Turkey,10061000,POINT (28.97427681675554 41.01760173507249),5.8333335,10.791667,57.125,80.208336,90.708336,71.208336,92.833336
19,Paris,French Republic,France,9904000,POINT (2.3529924615392135 48.85809231626911),98.0,100.0,87.25,85.333336,76.625,72.708336,75.958336
20,Seoul,"Korea, South",South Korea,9796000,POINT (126.9977851 37.568295),1.9583334,8.916667,74.916664,14.208333,37.708332,10.708333,40.125
21,Lagos,Nigeria,Nigeria,9466000,POINT (3.3895852 6.4452075),92.25,74.0,98.916664,64.791664,30.625,69.5,83.833336
22,Jakarta,Indonesia,Indonesia,9125000,POINT (106.8274918 -6.1724718),72.875,45.625,88.166664,95.0,97.125,98.208336,84.541664
23,Chicago,United States,United States of America,8990000,POINT (-87.63523655322338 41.847961283364114),36.5,11.541667,77.291664,78.583336,27.041666,79.5,79.416664
24,Guangzhou,China,China,8829000,POINT (113.26178516712943 23.12472343296695),7.7083335,54.208332,74.541664,90.875,56.666668,63.541668,99.625
25,London,United Kingdom,United Kingdom,8567000,POINT (-0.1186677 51.5019406),99.958336,97.666664,94.916664,86.458336,61.333332,53.708332,82.708336
26,Lima,Peru,Peru,8012000,POINT (-77.052008 -12.0460668),91.75,95.708336,79.125,47.041668,97.75,97.625,61.958332
27,Tehran,Iran,Iran,7873000,POINT (51.4223982 35.6738886),84.083336,47.625,47.875,10.458333,61.708332,96.041664,94.958336
28,Kinshasa,Congo (Kinshasa),Congo (Kinshasa),7843000,POINT (15.313026 -4.3277782),60.458332,96.125,100.0,93.791664,53.166668,46.375,82.458336
29,Bogota,Colombia,Colombia,7772000,POINT (-74.0852898 4.5983694),87.833336,99.708336,97.833336,99.958336,97.833336,93.125,97.333336
30,Shenzhen,China,China,7581000,POINT (114.06115351896277 22.54809707412332),24.375,83.375,96.625,95.166664,85.708336,84.0,100.0
31,Wuhan,China,China,7243000,POINT (114.2680712 30.5819772),5.5416665,99.458336,74.5,1.4166666,1.3333334,24.25,27.333334
32,Hong Kong,China,Hong Kong S.A.R.,7206000,POINT (114.1830635 22.3069268),23.333334,78.666664,97.916664,72.0,88.625,88.75,99.625
33,Tianjin,China,China,7180000,POINT (117.19660728208831 39.08277176197969),12.916667,53.5,81.25,48.5,52.25,82.625,100.0
34,Chennai,India,India,7163000,POINT (80.2780529 13.0919337),59.416668,81.375,94.666664,30.25,97.708336,100.0,97.708336
35,Taipei,Taiwan,Taiwan,6900273,POINT (121.5683333 25.0358333),99.875,100.0,99.791664,99.541664,93.75,99.041664,78.833336
36,Bengaluru,India,India,6787000,POINT (77.5580639 12.971941),77.166664,81.708336,96.0,34.916668,61.666668,90.083336,98.0
37,Bangkok,Thailand,Thailand,6704000,POINT (100.5146988 13.7519451),59.375,81.583336,41.5,32.208332,57.458332,66.083336,43.291668
38,Lahore,Pakistan,Pakistan,6577000,POINT (74.3480789 31.5619174),3.625,7.8333335,0.083333336,1.4583334,7.4166665,0.25,22.708334
39,Chongqing,China,China,6461000,POINT (106.5930358 29.5669229),99.541664,97.333336,70.041664,56.625,99.416664,98.833336,99.333336
