,level_0,level_1,0
0,0,2024-11-07,Mumbai
1,0,2024-11-08,New York
2,0,2024-11-09,Dhaka
3,0,2024-11-10,Delhi
4,0,2024-11-11,Mumbai
5,0,2024-11-12,Delhi
6,0,2024-11-13,Delhi
7,1,2024-11-07,Delhi
8,1,2024-11-08,Los Angeles
9,1,2024-11-09,Kolkata
10,1,2024-11-10,Lahore
11,1,2024-11-11,Karachi
12,1,2024-11-12,Lahore
13,1,2024-11-13,Mumbai
14,2,2024-11-07,Lahore
15,2,2024-11-08,Mumbai
16,2,2024-11-09,Delhi
17,2,2024-11-10,Karachi
18,2,2024-11-11,Lahore
19,2,2024-11-12,Karachi
20,2,2024-11-13,Karachi
21,3,2024-11-07,Kolkata
22,3,2024-11-08,Delhi
23,3,2024-11-09,Lahore
24,3,2024-11-10,Mumbai
25,3,2024-11-11,Delhi
26,3,2024-11-12,Mumbai
27,3,2024-11-13,Dhaka
28,4,2024-11-07,Dhaka
29,4,2024-11-08,Lahore
30,4,2024-11-09,Karachi
31,4,2024-11-10,Kolkata
32,4,2024-11-11,Wuhan
33,4,2024-11-12,Seoul
34,4,2024-11-13,Osaka
35,5,2024-11-07,Wuhan
36,5,2024-11-08,Kolkata
37,5,2024-11-09,Mumbai
38,5,2024-11-10,Dhaka
39,5,2024-11-11,Shanghai
40,5,2024-11-12,Osaka
41,5,2024-11-13,Buenos Aires
42,6,2024-11-07,Seoul
43,6,2024-11-08,Dhaka
44,6,2024-11-09,New York
45,6,2024-11-10,Wuhan
46,6,2024-11-11,Osaka
47,6,2024-11-12,Rio de Janeiro
48,6,2024-11-13,New York
49,7,2024-11-07,Istanbul
50,7,2024-11-08,Seoul
51,7,2024-11-09,Los Angeles
52,7,2024-11-10,Tehran
53,7,2024-11-11,Rio de Janeiro
54,7,2024-11-12,New York
55,7,2024-11-13,Los Angeles
