,date,city,geometry,cloud_cover,pop_max,row_order
0,2024-11-07,Seoul,POINT (126.9977851 37.568295),1.9583334,9796000,0
1,2024-11-07,Wuhan,POINT (114.2680712 30.5819772),5.5416665,7243000,1
2,2024-11-07,Dhaka,POINT (90.4066336 23.7250056),0.8333333,12797394,2
3,2024-11-07,Kolkata,POINT (88.36912550443886 22.569578883795778),6.2916665,14787000,3
4,2024-11-07,Delhi,POINT (77.2280582 28.6719388),0.125,15926000,4
5,2024-11-07,Lahore,POINT (74.3480789 31.5619174),3.625,6577000,5
6,2024-11-07,Mumbai,POINT (72.8758393972653 19.06840847529168),0.0,18978000,6
7,2024-11-07,Istanbul,POINT (28.97427681675554 41.01760173507249),5.8333335,10061000,7
8,2024-11-08,Seoul,POINT (126.9977851 37.568295),8.916667,9796000,0
9,2024-11-08,Dhaka,POINT (90.4066336 23.7250056),0.0,12797394,1
10,2024-11-08,Kolkata,POINT (88.36912550443886 22.569578883795778),3.2083333,14787000,2
11,2024-11-08,Delhi,POINT (77.2280582 28.6719388),0.7916667,15926000,3
12,2024-11-08,Lahore,POINT (74.3480789 31.5619174),7.8333335,6577000,4
13,2024-11-08,Mumbai,POINT (72.8758393972653 19.06840847529168),0.16666667,18978000,5
14,2024-11-08,New York,POINT (-73.99571754361698 40.72156174972766),0.0,19040000,6
15,2024-11-08,Los Angeles,POINT (-118.23198647223317 34.049219260337075),0.0,12500000,7
16,2024-11-09,Dhaka,POINT (90.4066336 23.7250056),0.0,12797394,0
17,2024-11-09,Kolkata,POINT (88.36912550443886 22.569578883795778),2.0416667,14787000,1
18,2024-11-09,Delhi,POINT (77.2280582 28.6719388),2.4166667,15926000,2
19,2024-11-09,Lahore,POINT (74.3480789 31.5619174),0.083333336,6577000,3
20,2024-11-09,Karachi,POINT (66.9880631 24.8719381),13.916667,12130000,4
21,2024-11-09,Mumbai,POINT (72.8758393972653 19.06840847529168),0.125,18978000,5
22,2024-11-09,New York,POINT (-73.99571754361698 40.72156174972766),7.25,19040000,6
23,2024-11-09,Los Angeles,POINT (-118.23198647223317 34.049219260337075),0.0,12500000,7
24,2024-11-10,Wuhan,POINT (114.2680712 30.5819772),1.4166666,7243000,0
25,2024-11-10,Dhaka,POINT (90.4066336 23.7250056),0.29166666,12797394,1
26,2024-11-10,Kolkata,POINT (88.36912550443886 22.569578883795778),9.333333,14787000,2
27,2024-11-10,Delhi,POINT (77.2280582 28.6719388),0.041666668,15926000,3
28,2024-11-10,Lahore,POINT (74.3480789 31.5619174),1.4583334,6577000,4
29,2024-11-10,Karachi,POINT (66.9880631 24.8719381),5.6666665,12130000,5
30,2024-11-10,Mumbai,POINT (72.8758393972653 19.06840847529168),0.125,18978000,6
31,2024-11-10,Tehran,POINT (51.4223982 35.6738886),10.458333,7873000,7
32,2024-11-11,Osaka,POINT (135.50375419006232 34.691095244477914),16.75,11294000,0
33,2024-11-11,Shanghai,POINT (121.4345588 31.2183983),16.5,14987000,1
34,2024-11-11,Wuhan,POINT (114.2680712 30.5819772),1.3333334,7243000,2
35,2024-11-11,Delhi,POINT (77.2280582 28.6719388),0.8333333,15926000,3
36,2024-11-11,Lahore,POINT (74.3480789 31.5619174),7.4166665,6577000,4
37,2024-11-11,Karachi,POINT (66.9880631 24.8719381),15.25,12130000,5
38,2024-11-11,Mumbai,POINT (72.8758393972653 19.06840847529168),0.5,18978000,6
39,2024-11-11,Rio de Janeiro,POINT (-43.212117466834385 -22.907308056882364),12.083333,11748000,7
40,2024-11-12,Osaka,POINT (135.50375419006232 34.691095244477914),5.7916665,11294000,0
41,2024-11-12,Seoul,POINT (126.9977851 37.568295),10.708333,9796000,1
42,2024-11-12,Delhi,POINT (77.2280582 28.6719388),0.0,15926000,2
43,2024-11-12,Lahore,POINT (74.3480789 31.5619174),0.25,6577000,3
44,2024-11-12,Karachi,POINT (66.9880631 24.8719381),10.083333,12130000,4
45,2024-11-12,Mumbai,POINT (72.8758393972653 19.06840847529168),2.25,18978000,5
46,2024-11-12,New York,POINT (-73.99571754361698 40.72156174972766),8.416667,19040000,6
47,2024-11-12,Rio de Janeiro,POINT (-43.212117466834385 -22.907308056882364),9.166667,11748000,7
48,2024-11-13,Osaka,POINT (135.50375419006232 34.691095244477914),11.333333,11294000,0
49,2024-11-13,Dhaka,POINT (90.4066336 23.7250056),8.625,12797394,1
50,2024-11-13,Delhi,POINT (77.2280582 28.6719388),0.0,15926000,2
51,2024-11-13,Karachi,POINT (66.9880631 24.8719381),0.16666667,12130000,3
52,2024-11-13,Mumbai,POINT (72.8758393972653 19.06840847529168),3.4166667,18978000,4
53,2024-11-13,New York,POINT (-73.99571754361698 40.72156174972766),0.33333334,19040000,5
54,2024-11-13,Los Angeles,POINT (-118.23198647223317 34.049219260337075),3.875,12500000,6
55,2024-11-13,Buenos Aires,POINT (-58.43251268766426 -34.61071459139255),5.8333335,12795000,7
